업체명,모델명,표시연비,배기량,co2배출량,등급,연간유류비
 스텔란티스코리아 주식회사,Peugeot 2008 1.5 BlueHDi,17.1,1499,109,1,1043553
 한국토요타자동차㈜,토요타 Camry Hybrid,17.1,2487,91,1,1211746
 르노코리아자동차 주식회사,XM3 하이브리드 17인치,17.4,1598,91,1,1190853
 르노코리아자동차 주식회사,XM3 하이브리드 18인치,17.0,1598,93,1,1218874
 한국토요타자동차㈜,렉서스 ES300h,16.8,2487,94,1,1233384
 스텔란티스코리아 주식회사,Peugeot 5008 1.5 BlueHDi,16.1,1499,116,1,1108370
 스텔란티스코리아 주식회사,DS4 Crossback 1.5 BlueHDi,16.5,1499,113,1,1081500
 폭스바겐그룹코리아 주식회사,T-Roc,16.4,1968,114,1,1088095
 스텔란티스코리아 주식회사,DS4 Crossback 1.5 BlueHDi,16.2,1499,115,1,1101528
 폭스바겐그룹코리아 주식회사,Q2 35 TDI,16.7,1968,111,1,1068548
